Data,venda,venda_1D,venda_2D,venda_3D,venda_4D,aluguel,aluguel_1D,aluguel_2D,aluguel_3D,aluguel_4D
nov/22,"10,178","11,949","9,004","9,802","12,358","45,5","58,8","42,2","39,6","40,8"
dez/22,"10,202","11,986","9,012","9,84","12,39","45,9","59,5","42,3","39,8",41
jan/23,"10,231","12,016","9,032","9,868","12,466","46,2","60,2","42,5","40,1","41,4"
fev/23,"10,265","12,065","9,063","9,898","12,486","46,7","61,2","42,9","40,5","41,6"
mar/23,"10,309","12,134","9,1","9,934","12,516","47,4",62,"43,5","41,2","41,6"
abr/23,"10,354","12,2","9,14","9,977","12,529",48,"62,8","44,2","41,7","41,6"
mai/23,"10,402","12,252","9,18","10,025","12,604","48,5","63,5","44,8","42,1","41,9"
jun/23,"10,451","12,305","9,221","10,075","12,684","49,2","64,5","45,6","42,5","42,5"
jul/23,"10,488","12,356","9,249","10,108","12,742",50,"65,4","46,4","43,1","43,2"
ago/23,"10,533","12,421","9,285","10,15","12,777","50,7","66,3","47,1","43,5","44,2"
set/23,"10,58","12,503","9,32","10,195","12,785",51,"66,7","47,4","43,7","44,9"
out/23,"10,63","12,579","9,356","10,243","12,833","51,3",67,"47,6","43,8","45,3"
nov/23,"10,664","12,636","9,389","10,266","12,832","51,5","67,4","47,8","44,1","45,6"
dez/23,"10,681","12,675","9,404","10,263","12,855",52,68,"48,2","44,3",46
jan/24,"10,71","12,721","9,436","10,283","12,843","52,4","68,8","48,6","44,6","46,1"
fev/24,"10,746","12,766","9,463","10,313","12,927","52,8","69,4",49,45,"46,3"
mar/24,"10,801","12,814","9,514","10,372","13,012","53,4","70,4","49,5","45,4","46,6"
abr/24,"10,865","12,884","9,564","10,438","13,135",54,"71,2","50,1","45,8","47,1"
mai/24,"10,943","12,973","9,631","10,528","13,184","54,7","72,1","50,9","46,2","47,8"
jun/24,"11,018","13,046","9,697","10,619","13,267","55,3","72,7","51,5","46,7","48,8"
jul/24,"11,084","13,116","9,758","10,693","13,322",56,"73,6","52,2","47,3","49,5"
ago/24,"11,153","13,205","9,813","10,762","13,399","56,5","74,1","52,6","47,9","49,7"
set/24,"11,212","13,29","9,855","10,822","13,465","56,7","74,5","52,6","48,3","49,8"
out/24,"11,273","13,388","9,903","10,875","13,503",57,"75,1","52,7","48,5","50,1"
nov/24,"11,324","13,444","9,953","10,921","13,57","57,3","75,6",53,"48,7","50,7"
dez/24,"11,381","13,517","10,004","10,97","13,634","57,9","76,4","53,8","48,9","51,1"
jan/25,"11,428","13,571","10,049","11,008","13,698","58,5","77,2","54,3","49,3","51,5"
